did,tsne_x,tsne_y
tensor(71),47.786266,-19.048773
tensor(15),7.954208,-35.30699
tensor(17),-45.51622,-35.938114
tensor(87),21.082188,18.835308
tensor(4),-25.354218,34.365765
tensor(16),2.126258,-12.447398
tensor(96),-55.622528,-17.265953
tensor(23),-19.550377,-5.3587184
tensor(91),10.703689,-56.341072
tensor(71),44.994663,-25.304483
tensor(6),-44.345554,-37.16536
tensor(87),4.692125,5.190314
tensor(86),55.692932,24.06617
tensor(17),-53.920834,9.130386
tensor(12),-47.257153,2.6180372
tensor(96),-52.716217,-17.562267
tensor(6),3.3673909,-10.971868
tensor(14),28.642996,-49.80167
tensor(9),68.93676,-0.976785
tensor(6),34.258556,8.281065
tensor(90),20.618828,20.612812
tensor(7),-16.497118,47.835728
tensor(83),16.945005,-16.062654
tensor(3),7.2794476,-34.96794
tensor(71),43.907673,-9.907023
tensor(72),-2.3160691,33.173805
tensor(96),-64.050964,-5.798788
tensor(67),53.612038,-25.585995
tensor(37),61.219627,24.566828
tensor(67),60.41618,-26.672747
tensor(66),11.837601,20.393616
tensor(17),-49.87946,-6.438626
tensor(75),-10.996533,-6.266003
tensor(37),61.277283,24.842947
tensor(3),-13.540985,-45.08556
tensor(23),-36.59401,29.912603
tensor(6),38.554817,11.647975
tensor(65),-28.951637,1.3053111
tensor(90),21.739433,27.53114
tensor(16),-11.3299265,-21.959238
tensor(11),-40.096786,35.14301
tensor(83),19.928707,-9.501633
tensor(86),55.82817,17.112202
tensor(6),32.822704,5.43684
tensor(5),2.8759155,-19.625
tensor(66),17.4988,30.128094
tensor(5),23.878805,-16.445576
tensor(37),61.32513,25.25667
tensor(62),27.989052,56.668613
tensor(67),56.39089,-26.121254
tensor(62),28.06603,57.495285
tensor(86),54.63452,21.571447
tensor(64),-41.418602,4.876164
tensor(23),-32.817997,41.567474
tensor(90),21.766314,26.700018
tensor(86),55.569206,16.146431
tensor(17),-53.761692,9.597901
tensor(1),-1.3192871,21.368757
tensor(67),53.14189,-25.49773
tensor(87),24.026064,22.420546
tensor(1),-3.9888065,18.620632
tensor(17),-53.281136,-2.4518268
tensor(11),-40.24826,37.827507
tensor(0),-58.966743,-23.500116
tensor(83),17.67087,-14.447303
tensor(65),-44.436607,32.60121
tensor(72),-1.1148596,14.591116
tensor(94),-3.9688625,-10.949786
tensor(37),-8.098331,-70.60618
tensor(6),-12.233299,-18.196918
tensor(0),-37.073814,-31.183308
tensor(75),-31.859316,17.530682
tensor(5),25.902353,-8.232819
tensor(86),56.531597,27.461966
tensor(83),16.052542,-17.35887
tensor(72),-36.06096,-27.8389
tensor(83),-6.648306,-20.151175
tensor(10),-36.21718,-28.821308
tensor(37),61.61389,10.981447
tensor(22),-9.426063,51.11665
tensor(7),-15.437635,30.499334
tensor(12),-46.638863,2.1857424
tensor(90),16.666702,13.610461
tensor(73),-14.934004,33.255882
tensor(5),-0.16079274,-19.619947
tensor(71),45.87107,-12.872438
tensor(37),61.98139,25.734655
tensor(96),-64.11349,-5.5829024
tensor(11),-39.946262,34.52529
tensor(12),-56.974377,4.520899
tensor(97),3.8513148,46.562527
tensor(6),34.70937,8.99442
tensor(22),-9.752151,50.769917
tensor(62),28.027136,54.70412
tensor(9),69.86583,-0.6646282
tensor(94),-9.493218,-14.515379
tensor(19),25.137547,51.227154
tensor(96),-58.07485,-16.368805
tensor(14),31.623253,-51.50753
tensor(95),-12.637746,-64.53804
tensor(64),-38.343895,2.620688
tensor(65),-42.060127,27.914572
tensor(2),-57.008858,-21.427494
tensor(66),6.464868,15.459283
tensor(6),36.082413,10.070449
tensor(19),27.269691,48.414547
tensor(62),30.368238,46.632473
tensor(2),-65.30147,-11.889486
tensor(5),26.093851,-12.6903105
tensor(5),26.092316,-12.661046
tensor(73),-15.785409,36.944233
tensor(7),-17.877527,49.485092
tensor(22),-13.835448,26.059456
tensor(16),-44.926136,-36.048912
tensor(15),-14.175945,-46.22706
tensor(19),16.348019,5.5124545
tensor(65),-28.98009,1.0071129
tensor(16),1.8400759,-13.056977
tensor(62),29.218628,50.187603
tensor(75),-32.185806,17.887846
tensor(0),-41.57594,-29.488623
tensor(73),-15.1663,20.764488
tensor(72),0.11992073,43.468796
tensor(9),68.17177,-4.4993353
tensor(23),-22.651646,2.1824248
tensor(16),-2.6178317,-18.315619
tensor(95),-14.919612,-62.360435
tensor(5),-3.3835166,-18.620863
tensor(94),10.308742,-14.405456
tensor(72),0.22015738,45.345577
tensor(86),56.2151,15.790406
tensor(19),5.5814104,-0.0760279
tensor(12),-45.195187,1.0140575
tensor(75),-38.029236,20.73488
tensor(87),6.552072,5.6674585
tensor(96),-53.70282,-17.594097
tensor(66),18.432123,33.979374
tensor(95),-9.285671,-68.89721
tensor(14),22.686287,-49.126087
tensor(7),-16.025148,47.19278
tensor(75),-42.76855,18.059574
tensor(64),-43.037254,6.167743
tensor(15),-3.6663294,-41.443592
tensor(22),-13.758314,31.807089
tensor(6),36.882397,10.585283
tensor(22),-11.829511,46.77574
tensor(65),-45.882538,34.059902
tensor(96),-58.42094,-16.062899
tensor(83),17.184582,-15.572725
tensor(91),15.1308155,-51.903225
tensor(66),8.659641,16.841734
tensor(97),3.021376,34.879936
tensor(94),-9.668814,-14.931626
tensor(72),0.28278762,47.85624
tensor(11),-27.170412,8.366761
tensor(96),-58.70542,-15.789443
tensor(16),32.20888,6.0570693
tensor(71),46.907764,-23.070381
tensor(14),31.274332,-51.501926
tensor(22),-13.225742,40.1709
tensor(6),31.837133,4.4255567
tensor(67),53.404816,-25.548113
tensor(5),23.347425,-16.719496
tensor(23),-31.75899,43.051373
tensor(9),68.2811,-2.8695462
tensor(73),-15.483345,36.11785
tensor(95),-12.602359,-64.60583
tensor(4),-38.756096,-16.771997
tensor(66),7.181941,15.730897
tensor(3),-1.44217,-39.45902
tensor(75),-32.14731,17.856909
tensor(11),-40.133823,37.62506
tensor(16),-12.151832,-22.240286
tensor(97),3.7956269,47.058304
tensor(15),-1.2618943,-40.701397
tensor(75),-9.913899,-4.838944
tensor(7),-15.811651,20.741383
tensor(66),-2.4693754,11.99175
tensor(62),3.5451198,1.7256713
tensor(0),-59.422176,-23.561485
tensor(19),25.344389,51.0645
tensor(64),-48.957157,12.342178
tensor(19),19.671238,7.7042117
tensor(75),-41.94073,18.68973
tensor(93),52.58104,-47.54487
tensor(62),29.521046,49.748802
tensor(12),-48.09411,3.1324418
tensor(90),21.575298,23.609158
tensor(86),61.256077,11.347265
tensor(22),-12.669224,45.127174
tensor(73),-14.790819,26.368288
tensor(96),-54.78139,-17.464373
tensor(22),-6.8864894,52.7397
tensor(66),18.133575,32.406586
tensor(1),5.002321,41.466793
tensor(11),-37.476818,-15.265549
tensor(16),-11.26053,-22.52581
tensor(22),-13.865022,26.34814
tensor(96),-64.49351,-4.5493774
tensor(15),-12.741095,-45.83215
tensor(87),9.271764,6.6005187
tensor(22),3.2241654,52.67604
tensor(11),-19.802279,-5.526081
tensor(19),14.014656,54.626846
tensor(19),14.328634,3.30678
tensor(1),1.5474449,25.68635
tensor(37),62.238052,15.540523
tensor(16),17.303932,45.299206
tensor(12),-54.919277,4.4259844
tensor(22),-6.9555707,52.715736
tensor(87),17.36289,12.190034
tensor(71),44.577267,-25.519804
tensor(22),-9.787903,50.66689
tensor(15),-13.921052,-45.917435
tensor(96),-40.838802,-15.978483
tensor(87),24.11537,22.48119
tensor(1),-46.258263,-36.57932
tensor(62),28.688835,52.17105
tensor(14),26.561825,-49.00692
tensor(5),25.802376,-8.396214
tensor(95),-9.585371,-68.41752
tensor(94),-4.395877,-11.440176
tensor(37),61.650967,25.563965
tensor(10),22.212946,-46.610744
tensor(75),-38.414936,20.53228
tensor(9),70.66139,2.2454824
tensor(93),49.140537,-46.81386
