开始 sweep 相场物理参数（并行=1）
Sweep: phy_weight × phy_alpha × phy_beta
启动任务: phy_weight=0.001 phy_alpha=0.5 phy_beta=0.5
Experiment name: VAEv12_MDN_lat=16_K=16_beta=0.001_warm=0.1_gamma=0.001_warm=0.1_phy_weight=0.001_phy_alpha=0.5_phy_beta=0.5scale=0.5_time=20260123_095021
[Epoch 0084] beta=0.001 gamma=0.001 | Train total=0.0056 | Val total=0.0026 | Val ctr_nll=-0.6730 | Val ctr_mse=0.054445 | Val conf=0.406
[Epoch 0085] beta=0.001 gamma=0.001 | Train total=0.0050 | Val total=0.0028 | Val ctr_nll=-0.2058 | Val ctr_mse=0.055681 | Val conf=0.406
[Epoch 0086] beta=0.001 gamma=0.001 | Train total=0.0050 | Val total=0.0024 | Val ctr_nll=-0.7878 | Val ctr_mse=0.053342 | Val conf=0.398
[Epoch 0087] beta=0.001 gamma=0.001 | Train total=0.0049 | Val total=0.0044 | Val ctr_nll=0.5120 | Val ctr_mse=0.059071 | Val conf=0.376
[Epoch 0088] beta=0.001 gamma=0.001 | Train total=0.0055 | Val total=0.0031 | Val ctr_nll=0.0226 | Val ctr_mse=0.057541 | Val conf=0.381
[Epoch 0089] beta=0.001 gamma=0.001 | Train total=0.0048 | Val total=0.0023 | Val ctr_nll=-0.8801 | Val ctr_mse=0.053637 | Val conf=0.393
[Epoch 0090] beta=0.001 gamma=0.001 | Train total=0.0047 | Val total=0.0024 | Val ctr_nll=-0.4972 | Val ctr_mse=0.052905 | Val conf=0.394
[Epoch 0091] beta=0.001 gamma=0.001 | Train total=0.0047 | Val total=0.0022 | Val ctr_nll=-1.2070 | Val ctr_mse=0.051924 | Val conf=0.442
[Epoch 0092] beta=0.001 gamma=0.001 | Train total=0.0045 | Val total=0.0028 | Val ctr_nll=-0.4663 | Val ctr_mse=0.053559 | Val conf=0.425
[Epoch 0093] beta=0.001 gamma=0.001 | Train total=0.0045 | Val total=0.0028 | Val ctr_nll=-0.6259 | Val ctr_mse=0.053068 | Val conf=0.473
[Epoch 0094] beta=0.001 gamma=0.001 | Train total=0.0045 | Val total=0.0023 | Val ctr_nll=-0.8410 | Val ctr_mse=0.052284 | Val conf=0.365
[Epoch 0095] beta=0.001 gamma=0.001 | Train total=0.0044 | Val total=0.0031 | Val ctr_nll=-0.1321 | Val ctr_mse=0.056619 | Val conf=0.403
[Epoch 0096] beta=0.001 gamma=0.001 | Train total=0.0043 | Val total=0.0025 | Val ctr_nll=-0.8124 | Val ctr_mse=0.052635 | Val conf=0.388
